source_zip,source_csv,full_tag,row_count,timestamp_shape,coverage_start_raw,coverage_end_raw,order_violation_count
trends_export_1783132968050.zip,trends_export_tmp1783132968311.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / POA YEARLY ACCUM,542,naive,2026-06-01 07:24:17.852000,2026-06-30 16:15:36.243000,0
trends_export_1783132978563.zip,trends_export_tmp1783132978826.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / PRESSURE,281,naive,2026-06-01 07:24:17.852000,2026-06-30 14:38:24.472000,0
trends_export_1783132988065.zip,trends_export_tmp1783132988474.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / PV MODUL TEMP 01,14968,naive,2026-06-01 00:09:05.740000,2026-06-30 23:55:34.211000,0
trends_export_1783132999904.zip,trends_export_tmp1783133000316.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / PV MODUL TEMP 01,14968,naive,2026-06-01 00:09:05.740000,2026-06-30 23:55:34.211000,0
trends_export_1783133007679.zip,trends_export_tmp1783133008090.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / PV MODUL TEMP 02,14430,naive,2026-06-01 00:24:00.641000,2026-06-30 23:33:24.926000,0
trends_export_1783133017086.zip,trends_export_tmp1783133017491.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / PV MODUL TEMP 03,14755,naive,2026-06-01 00:07:36.210000,2026-06-30 23:58:33.129000,0
trends_export_1783133025380.zip,trends_export_tmp1783133025657.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / RSI DAILY ACCUM 01,281,naive,2026-06-01 07:24:17.852000,2026-06-30 14:38:24.472000,0
trends_export_1783133032104.zip,trends_export_tmp1783133032364.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / RSI DAILY ACCUM 02,281,naive,2026-06-01 07:24:17.852000,2026-06-30 14:38:24.472000,0
trends_export_1783133037559.zip,trends_export_tmp1783133037822.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / RSI DAILY ACCUM 03,281,naive,2026-06-01 07:24:17.852000,2026-06-30 14:38:24.472000,0
trends_export_1783133044212.zip,trends_export_tmp1783133044475.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / RSI MONTHLY ACCUM 01,281,naive,2026-06-01 07:24:17.852000,2026-06-30 14:38:24.472000,0
trends_export_1783133052851.zip,trends_export_tmp1783133053112.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / RSI MONTHLY ACCUM 02,281,naive,2026-06-01 07:24:17.852000,2026-06-30 14:38:24.472000,0
trends_export_1783133058682.zip,trends_export_tmp1783133059160.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / RSI MONTHLY ACCUM 03,281,naive,2026-06-01 07:24:17.852000,2026-06-30 14:38:24.472000,0
trends_export_1783133065616.zip,trends_export_tmp1783133066008.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / RSI YEARLY ACCUM 01,282,naive,2026-06-01 07:24:17.852000,2026-06-30 14:38:24.472000,0
trends_export_1783133072246.zip,trends_export_tmp1783133072510.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / RSI YEARLY ACCUM 02,282,naive,2026-06-01 07:24:17.852000,2026-06-30 14:38:24.472000,0
trends_export_1783133077930.zip,trends_export_tmp1783133078188.csv,PLTS IKN / STS09 / WB09_EMI01 / MEAS / RSI YEARLY ACCUM 03,281,naive,2026-06-01 07:24:17.852000,2026-06-30 14:38:24.472000,0
